latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.5711,16.2706,300.2,2.3,1.5,2021-02-07,0920,Terra,MODIS,32,6.03,285.2,15.8,D,0
43.8797,16.7278,303.3,1,1,2021-02-15,1152,Aqua,MODIS,56,6.03,276.9,9.6,D,0
44.9348,15.7799,304,1.2,1.1,2021-02-19,0944,Terra,MODIS,58,6.03,282.2,9.4,D,0
44.904,15.7566,302.9,1.7,1.3,2021-02-20,1027,Terra,MODIS,54,6.03,287.4,11.4,D,0
44.833,15.7918,322.8,1.1,1.1,2021-02-20,1210,Aqua,MODIS,82,6.03,290.7,22.4,D,0
44.8366,15.7854,322.8,1.1,1.1,2021-02-20,1210,Aqua,MODIS,71,6.03,290.8,23.6,D,0
44.8458,16.0351,303.2,2.7,1.6,2021-02-21,1115,Aqua,MODIS,51,6.03,287.5,24.1,D,0
44.8422,16.0409,305.3,2.7,1.6,2021-02-21,1115,Aqua,MODIS,61,6.03,288.1,31.9,D,0
44.8446,15.7769,327.5,1.2,1.1,2021-02-22,1014,Terra,MODIS,85,6.03,292.1,33.7,D,0
44.8542,15.7804,312,1.2,1.1,2021-02-22,1014,Terra,MODIS,72,6.03,292.3,13.9,D,0
45.0636,15.7728,302.2,1.2,1.1,2021-02-22,1014,Terra,MODIS,51,6.03,289.8,6.4,D,0
44.5554,17.3342,304.7,1.5,1.2,2021-02-22,1014,Terra,MODIS,60,6.03,287.5,10.7,D,0
44.8878,15.9929,300.7,1.2,1.1,2021-02-22,1014,Terra,MODIS,40,6.03,288.6,5.5,D,0
44.7479,16.1817,302.4,1.3,1.1,2021-02-22,1015,Terra,MODIS,39,6.03,287.5,7.8,D,0
44.6057,16.2177,302.7,1.3,1.1,2021-02-22,1015,Terra,MODIS,53,6.03,287.2,7.5,D,0
44.7275,16.6216,308.5,1,1,2021-02-22,1158,Aqua,MODIS,67,6.03,293.5,6.8,D,0
44.7488,16.1812,304.7,1,1,2021-02-22,1158,Aqua,MODIS,60,6.03,291.7,6.5,D,0
44.564,16.3107,313.7,1,1,2021-02-22,1158,Aqua,MODIS,74,6.03,293.3,11.2,D,0
44.7992,16.278,309.4,1,1,2021-02-22,1158,Aqua,MODIS,69,6.03,293.7,8.4,D,0
44.8506,16.2504,303.1,1,1,2021-02-22,1158,Aqua,MODIS,55,6.03,292.6,3.9,D,0
44.4831,17.534,306.1,1,1,2021-02-22,1158,Aqua,MODIS,63,6.03,293.2,6.3,D,0
44.6054,16.216,303.5,1,1,2021-02-22,1158,Aqua,MODIS,56,6.03,289.4,5.1,D,0
44.6924,16.9691,324.5,1,1,2021-02-22,1158,Aqua,MODIS,83,6.03,296.1,21.1,D,0
44.6941,16.9817,331.6,1,1,2021-02-22,1158,Aqua,MODIS,87,6.03,296.1,30,D,0
44.591,16.8978,303.9,1,1,2021-02-22,1158,Aqua,MODIS,58,6.03,293.8,5.8,D,0
43.669,18.4217,300.2,1.1,1,2021-02-22,1158,Aqua,MODIS,32,6.03,287.7,3.8,D,0
44.9679,16.0356,305.7,1,1,2021-02-22,1158,Aqua,MODIS,62,6.03,290.5,6,D,0
44.59,17.4414,315.6,1,1,2021-02-22,1158,Aqua,MODIS,76,6.03,295.5,12.1,D,0
44.5568,17.3309,304.3,1,1,2021-02-22,1158,Aqua,MODIS,58,6.03,290.8,5.8,D,0
44.8475,15.7772,327.1,1,1,2021-02-22,1158,Aqua,MODIS,82,6.03,295.3,21.6,D,0
44.637,18.5277,303.6,1.1,1,2021-02-22,1158,Aqua,MODIS,57,6.03,290.8,5.1,D,0
44.4621,18.2937,309,1.1,1,2021-02-22,1158,Aqua,MODIS,68,6.03,293,8.8,D,0
44.4007,18.3162,304.7,1.1,1,2021-02-22,1158,Aqua,MODIS,56,6.03,292.6,6,D,0
44.5126,17.0037,304.8,1,1,2021-02-22,1158,Aqua,MODIS,48,6.03,293.3,5.4,D,0
44.5143,17.0161,303.5,1,1,2021-02-22,1158,Aqua,MODIS,36,6.03,290.8,4.9,D,0
44.6868,16.5292,307.1,1,1,2021-02-22,1158,Aqua,MODIS,43,6.03,295,6.3,D,0
44.6957,16.5267,310.8,1,1,2021-02-22,1158,Aqua,MODIS,70,6.03,295.8,8.6,D,0
44.7664,16.5649,301.8,1,1,2021-02-22,1158,Aqua,MODIS,47,6.03,291.2,3.4,D,0
44.2258,17.1315,303.4,1,1,2021-02-22,1158,Aqua,MODIS,44,6.03,293,4.7,D,0
44.7914,16.4801,304.4,1,1,2021-02-22,1158,Aqua,MODIS,59,6.03,293.9,4.6,D,0
44.8659,17.9322,308.6,1,1,2021-02-22,1158,Aqua,MODIS,67,6.03,291.9,7.9,D,0
44.6072,16.2284,301.7,1,1,2021-02-22,1158,Aqua,MODIS,49,6.03,289.7,3.9,D,0
44.7257,16.6091,306.7,1,1,2021-02-22,1158,Aqua,MODIS,64,6.03,294.5,5.6,D,0
44.5827,17.4931,302.6,2,1.4,2021-02-23,0919,Terra,MODIS,53,6.03,290.4,12.1,D,0
44.5446,16.5871,317,2.2,1.4,2021-02-23,0919,Terra,MODIS,77,6.03,289.2,51.5,D,0
44.054,18.4371,304,1.7,1.3,2021-02-23,0919,Terra,MODIS,58,6.03,285.8,16.4,D,0
44.6394,16.7096,300,2.2,1.4,2021-02-23,0919,Terra,MODIS,18,6.03,288.5,11.5,D,0
43.6391,17.2263,301.2,3.2,1.7,2021-02-23,1241,Aqua,MODIS,40,6.03,290.8,15.5,D,0
44.5911,16.2761,302.9,2.9,1.6,2021-02-23,1241,Aqua,MODIS,54,6.03,291.6,18.4,D,0
44.5893,16.2396,301.9,2.9,1.6,2021-02-23,1241,Aqua,MODIS,50,6.03,291.3,15.9,D,0
44.3058,17.7944,307,1.1,1.1,2021-02-24,1002,Terra,MODIS,65,6.03,284.4,10.4,D,0
